x,y,made
36.9,19.65,False
26.2,40.95,True
25.8,39.65,False
45.1,26.75,False
26.0,37.25,True
23.2,36.75,False
25.0,42.35,True
25.3,25.95,True
31.4,14.049999999999997,False
26.8,39.85,True
26.0,15.95,False
46.5,30.15,True
24.3,9.450000000000003,True
35.9,17.85,False
21.9,39.75,True
25.0,40.15,True
10.2,19.85,False
38.8,20.15,False
25.0,42.35,False
4.5,27.35,True
19.9,15.95,False
25.6,39.85,False
25.2,40.95,True
25.9,24.95,False
2.1000000000000014,38.85,True
29.4,40.45,False
2.6999999999999993,38.55,False
48.9,35.45,True
24.6,40.95,False
2.6999999999999993,42.65,True
24.8,41.35,True
42.5,33.85,False
45.5,27.05,False
28.3,40.35,True
24.7,25.65,False
23.7,41.05,False
26.6,40.95,False
21.6,36.75,False
23.6,40.05,True
23.8,41.45,True
1.6000000000000014,41.65,False
39.5,25.75,False
37.8,17.05,False
33.5,25.85,True
15.2,15.45,False
21.2,40.05,False
47.2,43.85,False
48.5,37.95,False
27.3,41.05,True
23.3,15.649999999999999,False
20.7,16.25,False
12.7,18.75,False
7.100000000000001,23.85,False
1.5,38.55,False
20.5,17.25,False
48.2,41.65,False
29.7,35.15,True
15.8,41.55,True
25.5,41.65,False
34.7,18.65,False
26.6,40.45,False
15.8,35.65,True
24.7,38.35,False
42.0,22.45,False
17.9,36.25,False
14.7,17.45,False
17.2,16.65,True
23.9,40.95,True
25.5,40.45,True
21.4,38.45,False
5.699999999999999,21.85,False
4.899999999999999,25.85,False
23.8,41.35,True
22.2,26.55,False
41.9,23.75,True
25.3,41.15,True
13.0,30.85,False
16.7,25.55,False
16.9,42.05,True
25.3,37.45,True
25.0,42.35,True
27.6,22.45,False
7.399999999999999,20.25,False
16.8,17.55,True
33.1,16.65,False
12.8,19.25,False
22.6,16.05,False
33.7,15.95,False
19.5,41.05,False
21.0,12.75,False
25.0,40.45,False
47.3,28.95,True
9.5,18.85,False
7.199999999999999,22.35,False
27.2,16.05,True
18.2,41.25,False
25.2,16.15,False
22.9,16.15,True
32.3,31.45,False
17.9,21.85,False
29.3,28.25,True
22.1,41.45,False
19.8,14.350000000000001,False
28.7,23.75,True
9.8,20.55,False
25.5,38.85,False
36.5,30.55,True
25.2,38.35,False
26.8,42.15,True
26.4,41.15,False
24.6,41.75,False
23.7,41.45,True
17.8,39.85,True
26.3,37.85,False
31.4,17.45,False
10.5,38.65,True
9.5,22.75,True
23.4,16.95,False
24.1,42.25,True
4.899999999999999,25.25,False
31.7,29.55,False
24.5,40.95,False
14.6,40.35,False
19.9,40.35,False
23.7,28.15,True
20.4,41.65,False
37.2,18.65,False
30.8,28.05,True
14.4,18.45,True
25.0,42.35,True
24.3,40.85,True
23.2,39.45,True
33.1,30.75,True
15.8,17.95,True
26.4,27.45,False
6.600000000000001,24.45,False
37.8,18.85,False
28.4,15.95,True
22.5,39.65,True
24.7,41.65,True
24.8,41.75,True
16.1,15.95,False
1.5,40.35,False
27.1,40.85,False
1.8999999999999986,30.45,True
23.4,40.95,True
35.1,38.65,False
28.3,36.05,False
24.8,41.25,True
22.8,28.75,False
40.8,22.75,True
16.3,17.75,False
2.3999999999999986,39.85,False
26.3,16.95,False
47.2,30.35,False
2.1000000000000014,39.35,False
21.2,23.45,True
4.600000000000001,25.95,False
44.3,22.75,False
2.0,36.85,False
