x,y,made
8.8,21.75,False
19.1,37.85,False
24.0,36.25,True
24.6,41.45,True
25.0,41.75,True
25.0,41.75,True
12.1,19.35,True
31.2,38.45,False
8.0,41.75,False
35.8,38.75,False
8.399999999999999,36.95,True
25.0,41.75,True
25.0,41.75,False
4.100000000000001,26.65,True
41.4,41.65,True
48.5,40.65,True
6.5,24.55,True
3.8999999999999986,29.15,False
25.0,41.75,True
25.0,41.75,False
26.1,34.85,True
30.4,33.45,False
26.0,23.85,False
48.2,32.45,False
32.1,26.95,False
20.3,34.55,False
11.4,31.55,True
17.2,18.45,False
40.0,37.25,False
25.0,41.75,True
22.6,37.55,True
9.1,22.05,False
29.9,35.75,False
47.3,35.65,False
33.2,25.25,False
25.0,41.75,False
9.0,38.15,True
28.0,33.55,True
28.7,38.35,True
25.0,41.75,True
25.0,41.75,True
25.0,41.75,True
10.9,21.25,False
25.0,41.75,True
2.0,41.35,False
47.8,37.85,True
38.6,27.15,True
25.0,41.75,False
25.0,41.75,True
9.5,28.25,False
32.0,40.05,True
35.8,16.35,False
9.1,22.85,False
25.2,39.15,False
47.3,41.45,True
25.0,41.75,True
36.6,29.15,True
13.1,20.35,True
25.0,41.75,False
42.5,22.55,False
26.8,29.85,False
38.6,27.95,True
38.1,34.55,False
32.3,23.95,True
32.1,38.75,False
44.9,23.15,False
25.2,36.25,False
28.0,36.95,False
34.8,24.15,True
25.7,35.45,False
43.8,25.85,True
48.9,37.85,True
19.4,40.35,False
16.6,38.75,False
16.6,28.65,True
29.8,19.55,True
12.5,28.05,False
6.600000000000001,25.55,False
31.2,23.95,True
21.6,17.05,True
40.8,31.25,False
24.9,41.65,False
11.7,39.55,True
15.0,24.25,True
25.0,41.75,False
25.0,41.75,True
8.0,21.95,True
17.8,24.95,False
25.7,41.75,True
25.0,41.75,True
25.0,41.75,False
25.8,40.25,False
25.0,41.75,True
28.2,23.65,False
8.0,41.65,True
25.0,41.75,False
31.2,36.55,False
9.8,39.45,False
25.0,41.75,True
31.7,37.85,True
22.9,31.05,True
25.0,41.75,False
25.0,41.75,True
25.0,41.75,False
43.2,40.25,False
9.3,28.65,True
38.3,26.45,False
36.9,28.85,False
26.5,40.25,False
19.2,17.15,True
18.3,33.55,False
21.3,23.95,False
25.0,41.75,True
25.0,41.75,True
25.0,41.75,False
19.9,24.45,True
24.6,40.25,False
2.5,30.45,False
31.0,17.65,False
25.0,41.75,False
7.699999999999999,32.45,True
24.6,33.55,False
25.5,22.55,False
37.0,20.15,False
47.9,41.95,False
25.0,41.75,False
32.3,32.45,False
25.0,41.75,False
18.3,25.55,True
25.0,41.75,True
25.0,41.75,True
15.5,38.45,False
40.3,39.45,False
19.4,36.55,False
25.0,41.75,False
16.9,25.75,False
25.0,41.75,False
15.1,17.85,True
3.1999999999999993,27.45,True
10.9,41.15,False
25.0,41.75,True
15.9,18.65,True
12.0,35.05,False
33.1,29.85,True
25.0,41.75,True
25.0,41.75,True
24.3,40.85,False
2.5,41.75,True
25.7,36.25,True
19.2,31.55,True
15.1,16.75,False
41.9,41.15,True
25.0,41.75,True
26.9,34.55,True
37.3,28.65,False
10.3,39.25,True
24.8,34.55,False
16.2,38.75,False
24.8,42.55,True
10.6,31.85,False
38.6,27.75,True
25.0,41.75,True
38.0,35.15,False
26.0,41.35,False
41.9,38.75,False
19.2,20.65,False
25.0,41.75,True
25.0,41.75,True
23.2,37.05,False
25.8,41.05,True
25.0,41.75,True
35.0,26.35,True
25.0,41.75,True
33.9,26.65,False
