Year,3 Point Shot,In The Paint (Non-RA),Mid-Range,Restricted Area
2004,18.5,14.4,35.6,31.3
2005,19.4,13.0,35.4,32.0
2006,20.0,12.9,34.4,32.4
2007,21.0,12.9,33.0,32.9
2008,21.9,12.9,32.9,32.0
2009,22.1,12.8,32.2,32.7
2010,22.0,13.1,31.4,33.2
2011,21.9,15.3,31.0,31.5
2012,22.4,14.9,30.3,32.3
2013,24.1,14.5,28.3,32.8
2014,25.7,14.9,26.8,32.3
2015,26.6,14.8,26.2,32.2
2016,28.2,14.5,24.6,32.4
2017,31.3,14.2,22.2,32.1
2018,33.4,15.7,19.1,31.6
2019,35.6,16.0,15.2,33.0
2020,38.1,16.1,13.3,32.2
2021,39.0,17.9,12.9,30.1
2022,39.6,18.3,12.8,29.1
2023,38.5,19.5,11.9,29.9
2024,39.3,19.7,11.2,29.6
