x,y,year,Zone
25.0,41.75,2004,Restricted Area (RA)
5.300000000000001,27.15,2004,3 Point Shot
12.9,27.95,2004,Mid-Range
9.6,40.05,2004,Mid-Range
33.5,44.15,2004,Mid-Range
26.1,36.85,2004,In The Paint (Non-RA)
12.9,22.35,2004,Mid-Range
20.1,17.75,2004,3 Point Shot
25.0,41.75,2004,Restricted Area (RA)
23.7,36.85,2004,In The Paint (Non-RA)
25.0,41.75,2004,Restricted Area (RA)
12.7,41.75,2004,Mid-Range
14.0,42.25,2004,Mid-Range
43.4,37.45,2004,Mid-Range
25.0,41.75,2004,Restricted Area (RA)
45.5,26.45,2004,3 Point Shot
12.0,39.45,2004,Mid-Range
7.899999999999999,44.85,2004,Mid-Range
40.3,37.95,2004,Mid-Range
25.0,41.75,2004,Restricted Area (RA)
26.1,29.25,2004,In The Paint (Non-RA)
29.3,37.45,2004,In The Paint (Non-RA)
47.0,30.75,2004,3 Point Shot
22.4,41.25,2004,Restricted Area (RA)
44.9,43.35,2004,Mid-Range
48.8,42.25,2004,3 Point Shot
31.9,27.95,2004,In The Paint (Non-RA)
29.6,38.95,2004,In The Paint (Non-RA)
12.5,23.65,2004,Mid-Range
16.0,40.05,2004,Mid-Range
43.2,22.85,2004,3 Point Shot
44.4,32.05,2004,Mid-Range
25.0,41.75,2004,Restricted Area (RA)
48.8,42.55,2004,3 Point Shot
42.1,23.95,2004,3 Point Shot
31.9,28.95,2004,In The Paint (Non-RA)
10.4,29.25,2004,Mid-Range
20.9,21.35,2004,Mid-Range
24.7,40.95,2004,Restricted Area (RA)
10.6,41.55,2004,Mid-Range
12.5,26.25,2004,Mid-Range
37.8,41.25,2004,Mid-Range
25.0,41.75,2004,Restricted Area (RA)
25.0,41.75,2004,Restricted Area (RA)
8.600000000000001,35.15,2004,Mid-Range
35.3,34.85,2004,Mid-Range
25.0,41.75,2004,Restricted Area (RA)
25.0,41.75,2004,Restricted Area (RA)
14.7,24.85,2004,Mid-Range
21.6,12.950000000000003,2004,3 Point Shot
25.0,41.75,2004,Restricted Area (RA)
43.6,28.05,2004,Mid-Range
10.6,42.85,2004,Mid-Range
9.2,21.35,2004,3 Point Shot
25.0,41.75,2004,Restricted Area (RA)
30.7,40.05,2004,In The Paint (Non-RA)
25.0,41.75,2004,Restricted Area (RA)
48.3,33.35,2004,3 Point Shot
37.8,25.65,2004,Mid-Range
6.100000000000001,29.55,2004,Mid-Range
7.800000000000001,41.75,2004,Mid-Range
25.0,17.45,2004,3 Point Shot
16.8,27.45,2004,Mid-Range
12.0,29.25,2004,Mid-Range
24.9,21.65,2004,Mid-Range
25.0,41.75,2004,Restricted Area (RA)
26.0,21.15,2004,Mid-Range
25.0,41.75,2004,Restricted Area (RA)
34.0,34.85,2004,Mid-Range
48.2,37.15,2004,3 Point Shot
33.2,39.55,2004,Mid-Range
45.2,42.35,2004,Mid-Range
26.5,34.55,2004,In The Paint (Non-RA)
48.3,44.55,2004,3 Point Shot
29.1,41.25,2004,In The Paint (Non-RA)
15.3,38.95,2004,Mid-Range
47.5,30.75,2004,3 Point Shot
16.1,20.85,2004,Mid-Range
9.6,20.25,2004,3 Point Shot
25.0,41.75,2004,Restricted Area (RA)
8.399999999999999,35.95,2004,Mid-Range
17.0,40.55,2004,In The Paint (Non-RA)
14.0,28.45,2004,Mid-Range
5.600000000000001,27.45,2004,3 Point Shot
25.0,41.75,2004,Restricted Area (RA)
25.0,41.75,2004,Restricted Area (RA)
